timestamp=1399057050108;power=30.974889454018555
timestamp=1399057051110;power=31.810282202686878
timestamp=1399057052119;power=31.438608774889957
timestamp=1399057053120;power=32.083764090055276
timestamp=1399057054120;power=31.320034178344407
timestamp=1399057055119;power=31.362432428221688
timestamp=1399057056119;power=31.314407924363618
timestamp=1399057057119;power=31.269846671571084
timestamp=1399057058119;power=31.328836883303147
timestamp=1399057059119;power=31.268011932476593
timestamp=1399057060120;power=31.261832665121034
timestamp=1399057061120;power=31.25999605751069
timestamp=1399057062119;power=31.289673785782693
timestamp=1399057063120;power=31.269390264780633
timestamp=1399057064119;power=31.307474453495793
timestamp=1399057065119;power=31.28402747722908
timestamp=1399057066120;power=31.301332923836668
timestamp=1399057067119;power=31.32319819668324
timestamp=1399057068119;power=31.298126216563425
=====
timestamp=1399057069119;power=31.25103030609504
timestamp=1399057070119;power=31.309269862907094
timestamp=1399057071119;power=31.36361833226504
timestamp=1399057072119;power=36.10168000358249
timestamp=1399057073119;power=47.41441200463671
timestamp=1399057074119;power=52.02912382367869
timestamp=1399057075119;power=56.800630972411156
timestamp=1399057076119;power=56.91678652039371
timestamp=1399057077119;power=57.15599770621144
timestamp=1399057078119;power=57.927637990469634
timestamp=1399057079120;power=58.63784970175804
timestamp=1399057080119;power=57.06809232550323
timestamp=1399057081119;power=57.859323845979375
timestamp=1399057082119;power=59.670739101091115
timestamp=1399057083119;power=58.45217704087266
timestamp=1399057084119;power=58.755023704413574
timestamp=1399057085119;power=59.53617612653065
timestamp=1399057086119;power=60.003535544689754
timestamp=1399057087119;power=59.97247955884377
timestamp=1399057088119;power=59.99512556309111
timestamp=1399057089119;power=61.75344811754021
timestamp=1399057090119;power=60.86854347039679
timestamp=1399057091119;power=60.852867491101414
timestamp=1399057092119;power=61.43046449043116
timestamp=1399057093119;power=61.311483173450476
timestamp=1399057094119;power=61.77639296752397
timestamp=1399057095119;power=61.678126297222406
timestamp=1399057096119;power=61.19758019122217
timestamp=1399057097119;power=61.573053132492674
timestamp=1399057098119;power=61.25758951609641
