timestamp=1399057290443;power=30.974889454018555
timestamp=1399057291450;power=31.69242411571001
timestamp=1399057292459;power=31.482834449043793
timestamp=1399057293459;power=32.07130777561228
timestamp=1399057294449;power=31.32202266269256
timestamp=1399057295459;power=31.305801341597736
timestamp=1399057296459;power=31.30868255513302
timestamp=1399057297459;power=31.329570937277193
timestamp=1399057298459;power=31.292857324928885
timestamp=1399057299459;power=31.29854522196585
timestamp=1399057300459;power=31.32938801110763
timestamp=1399057301459;power=31.279927390865982
timestamp=1399057302459;power=31.291661450358635
timestamp=1399057303459;power=31.297265961983765
timestamp=1399057304460;power=31.314172659869637
timestamp=1399057305459;power=31.298391957443567
timestamp=1399057306459;power=31.32756282035248
timestamp=1399057307459;power=31.27642860223392
=====
timestamp=1399057308459;power=31.294278420924417
timestamp=1399057309459;power=31.300662689950574
timestamp=1399057310459;power=31.287203278240245
timestamp=1399057311460;power=31.278337993145815
timestamp=1399057312459;power=35.79202088973143
timestamp=1399057313459;power=46.830099268351596
timestamp=1399057314459;power=51.925671848829694
timestamp=1399057315459;power=56.37868386522328
timestamp=1399057316459;power=56.664121389892465
timestamp=1399057317459;power=56.83841047614971
timestamp=1399057318459;power=57.97211362836676
timestamp=1399057319459;power=58.37210836409419
timestamp=1399057320459;power=57.10338707136211
timestamp=1399057321460;power=57.65680295676062
timestamp=1399057322460;power=58.51146999559812
timestamp=1399057323459;power=58.48918215783829
timestamp=1399057324459;power=58.53492309847013
timestamp=1399057325459;power=59.33028317953483
timestamp=1399057326459;power=60.137267680565536
timestamp=1399057327459;power=60.101691579230796
timestamp=1399057328459;power=60.74946565132391
timestamp=1399057329459;power=61.207892640527646
timestamp=1399057330459;power=60.39875132834214
timestamp=1399057331459;power=60.396739691725315
timestamp=1399057332459;power=61.142945853265594
timestamp=1399057333460;power=60.734738545207435
timestamp=1399057334459;power=61.133048847552544
timestamp=1399057335459;power=61.22964408639106
timestamp=1399057336459;power=61.16772171682908
timestamp=1399057337459;power=61.05326723258341
timestamp=1399057338459;power=60.96848008825177
